pid,email_21,messenger_21,blog_21,cloud_21,call_check_21,service_purchase_21,money_transfer_21,cradit_card_21,agency_purchase_21,machine_purchase_21,phone_owner_21,data_21,dmb_21,agency_21,voice_service_21,data_service_21,use_date_21,brand_21,age_21,school_21,marry_21,salary_21,job_21,religion_21,email_22,messenger_22,blog_22,cloud_22,call_check_22,service_purchase_22,money_transfer_22,cradit_card_22,agency_purchase_22,machine_purchase_22,phone_owner_22,data_22,dmb_22,agency_22,voice_service_22,data_service_22,use_date_22,brand_22,age_22,school_22,marry_22,salary_22,job_22,religion_22,email_23,messenger_23,blog_23,cloud_23,call_check_23,service_purchase_23,money_transfer_23,cradit_card_23,agency_purchase_23,machine_purchase_23,phone_owner_23,data_23,dmb_23,agency_23,voice_service_23,data_service_23,use_date_23,brand_23,age_23,school_23,marry_23,salary_23,job_23,religion_23
66480001,1,1,2,2,2,2,1,1,50,20,1,3,1,2,1,2,30,1,5,3,2,8,1,1,2,1,2,2,2,1,1,1,69,0,1,2,1,2,1,1,43,1,5,3,2,14,1,2,1,1,2,2,2,2,1,1,43,0,1,2,1,2,2,2,43,1,5,3,2,11,1,2
66480002,1,1,2,1,2,2,1,1,45,20,1,3,1,2,1,2,30,1,4,3,2,6,1,1,2,1,2,2,2,1,1,1,80,0,1,2,1,2,1,1,43,1,4,3,2,6,1,2,1,1,2,2,2,2,1,1,43,0,1,2,1,2,2,2,43,1,4,3,2,6,1,2
66480003,1,1,2,2,2,7,2,2,30,0,4,2,1,3,1,2,30,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,30,0,4,2,1,2,2,2,42,1,2,2,1,1,2,2,1,1,2,2,2,7,1,2,33,0,4,2,1,1,2,2,42,1,2,3,1,1,2,2
66480004,1,1,2,2,2, , , ,40,0,4,2,1,3,1,2,40,1,2,1,1,1,2,1,2,1,2,2,2,1,2,2,30,20,4,2,1,2,2,2,5,1,2,2,1,1,2,2,1,1,2,2,2,7,2,2,33,0,4,2,1,1,2,2,18,1,2,2,1,1,2,2
66490001,2,2,2,2,2,7,2,2,39,20,4,2,1,2,2,2,18,1,8,1,2,3,1,2,2,2,2,2, ,7,2,2,20,0,1, , , , , , , ,8,1,2,7,1,2,2,2,2,2, ,7,2,2,15,0,4, , , , , , , ,8,1,2,3,2,1
66490002,2,2,2,2,2,7,2,2,39,15,4,2,1,2,2,2,30,1,8,1,2,1,2,2,2,2,2,2, ,7,2,2,20,0,4, , , , , , , ,8,1,2,1,2,2,2,2,2,2, ,7,2,2,15,0,4, , , , , , , ,8,1,2,1,2,1
66510001,1,1,2,1,1,1,1,1,60,0,1,2,1,3,1,2,36,1,5,3,2,15,1,2,1,1,2,2,2,1,1,1,49,20,1,2,1,3,1,2,2,1,5,3,2,12,1,2,1,1,2,2,2,7,1,1,50,25,1,3,1,3,1,2,14,1,5,3,2,11,1,2
66510002,1,1,2,2,1,1,1,1,45,18,1,2,1,3,1,2,36,1,5,2,2,6,1,1,1,1,2,2,2,1,1,1,49,0,1,2,1,3,2,2,5,1,5,2,2,7,1,2,1,1,2,2,2,7,1,1,30,20,1,2,1,3,1,2,5,1,5,2,2,4,1,2
66510003,1,1,2,2,1, , , ,35,18,4,2,1,3,2,2,11,1,2,1,1,1,2,1,2,1,2,2,2, , , ,33,0,4,2,1,3,2,2,28,1,2,1,1,1,2,2,2,1,2,2,2,7,2,2,20,0,4,2,1,3,2,2,28,1,2,2,1,1,2,2
66520002,2,1,2,2,2,7,2,2,35,10,4,2,1,2,1,2,77,1,8,1,2,1,2,2,2,1,2,2,2,7,2,2,20,0,4,2,1,2,2,2,10,1,8,1,2,1,2,2,2,1,2,2,2,7,2,2,33,0,4,2,1,2,2,2,77,1,8,1,2,1,2,2
66520003,1,1,2,2,2,2,1,1,49,0,1,2,1,2,1,2,42,1,4,4,1,8,1,2,1,1,2,2,1,1,1,1,70,0,1,2,1,2,1,1,42,1,5,4,1,9,1,2,1,1,2,2,2,2,1,1,69,20,1,4,2,2,1,1,28,1,5,4,1,8,1,2
66550001,1,1,2,2,2,7,2,2,80,18,1,2,1,1,1,1,31,1,6,4,2,13,1,1,1,1,2,2,2,1,1,1,60,0,1,2,1,2,1,2,31,1,6,4,2,11,1,2,1,1,2,2,2,7,1,1,49,0,1,3,1,2,1,2,43,1,6,4,2,10,1,2
66550002,1,1,2,2,2,2,1,1,40,20,4,2,1,1,1,2,18,1,5,3,2,1,2,1,1,1,2,2,2,7,1,1,65,30,4,2,1,2,1,2,18,1,6,3,2,1,2,2,1,1,2,2,2,7,1,1,65,20,4,3,1,2,1,1,30,1,6,3,2,1,2,2
66550003,1,1,2,2,2,7,2,2,40,0,4,2,1,1,1,2,72,1,2,3,1,1,2,2,1,1,2,2,1,1,1,2,30,0,4,2,1,2,2,2,12,1,2,3,1,1,2,2,1,1,2,2,2,2,1,1,39,20,4,2,1,2,1,2,24,1,2,3,1,1,2,2
66550004,1,1,2,1,2,7,2,2,50,20,4,2,2,1,1,2,30,3,2,3,1,1,2,2,1,1,2,2,2,1,1,2,30,0,4,2,1,2,2,2,12,1,2,3,1,1,2,2,1,1,2,2,2,2,1,2,39,0,4,2,1,2,1,2,24,1,2,3,1,1,2,2
66560001,1,1,2,2,2,7,2,2,49,19,1,2,1,2,1,2,30,1,6,4,2,10,1,1,1,1,2,2,2,1,1,1,70,30,1,3,1,2,1,1,8,1,6,4,2,11,1,2,1,1,2,2,2,2,1,1,50,0,1,4,1,2,1,1,20,1,6,4,2,10,1,2
66560002,1,1,2,2,2,7,1,2,33,20,4,2,1,2,1,2,6,1,6,3,2,1,2,1,1,1,2,2,2,1,1,1,50,30,4,2,1,2,2,2,8,1,6,3,2,1,2,1,2,1,2,2,2,7,1,1,43,20,4,4,1,2,1,2,18,1,6,3,2,1,2,2
66560003,1,1,2,1,2,1,1,2,49,19,4,2,1,2,1,2,24,1,3,4,1,1,2,1,1,1,1,2,1,1,1,2,50,30,4,2,1,2,1,1,10,1,3,4,1,1,2,2,1,1,1,2,2,2,1,1,50,20,1,4,1,2,1,1,18,1,3,4,1,3,1,2
